timest,station,param,level,station_name,longitude,latitude,param_name
2018-01-14 07:00:00,1,8,955.97,Druzhba,23.400164,42.666508,Atmospheric pressure
2016-06-12 20:00:00,4,2,1.37,Pavlovo,23.268403,42.669797,NO
2016-09-04 15:00:00,6,11,28.66,Mladost,23.383271,42.655488,Temperature
2017-08-28 20:00:00,2,11,27.57,Nadezhda,23.310972,42.732292,Temperature
2016-12-15 22:00:00,3,1,22.25,Krasno selo,23.400164,42.666508,NO2
2016-04-28 17:00:00,2,11,20.33,Nadezhda,23.310972,42.732292,Temperature
2016-11-28 09:00:00,6,3,3.54,Mladost,23.383271,42.655488,C6H6
2018-02-08 06:00:00,1,0,15.77,Druzhba,23.400164,42.666508,Particulate matter
2016-02-15 17:00:00,3,6,6.74,Krasno selo,23.400164,42.666508,SO2
2018-01-07 04:00:00,5,2,2.91,Kopitoto,23.268403,42.669797,NO
2016-03-22 20:00:00,5,1,4.74,Kopitoto,23.268403,42.669797,NO2
2018-04-16 18:00:00,2,9,0.94,Nadezhda,23.310972,42.732292,Wind
2018-05-18 13:00:00,2,11,0.0,Nadezhda,23.310972,42.732292,Temperature
2018-01-04 12:00:00,1,7,91.29,Druzhba,23.400164,42.666508,Humidity
2016-03-27 15:00:00,5,4,0.35,Kopitoto,23.268403,42.669797,CO
2017-02-10 08:00:00,4,9,2.56,Pavlovo,23.268403,42.669797,Wind
2017-09-28 14:00:00,4,2,18.73,Pavlovo,23.268403,42.669797,NO
2016-10-22 18:00:00,1,11,13.6,Druzhba,23.400164,42.666508,Temperature
2016-07-28 17:00:00,1,5,97.87,Druzhba,23.400164,42.666508,O3
2017-03-04 21:00:00,4,6,19.87,Pavlovo,23.268403,42.669797,SO2
2016-10-19 07:00:00,4,8,950.94,Pavlovo,23.268403,42.669797,Atmospheric pressure
2018-03-18 16:00:00,1,1,33.75,Druzhba,23.400164,42.666508,NO2
2018-04-22 23:00:00,1,3,3.61,Druzhba,23.400164,42.666508,C6H6
2018-02-17 04:00:00,3,11,-0.87,Krasno selo,23.400164,42.666508,Temperature
2017-03-04 18:00:00,2,10,29.55,Nadezhda,23.310972,42.732292,Sun radiation
2017-04-14 00:00:00,3,8,923.46,Krasno selo,23.400164,42.666508,Atmospheric pressure
2017-08-19 21:00:00,3,11,0.0,Krasno selo,23.400164,42.666508,Temperature
2016-12-31 01:00:00,5,6,6.3,Kopitoto,23.268403,42.669797,SO2
2016-09-07 06:00:00,6,4,0.25,Mladost,23.383271,42.655488,CO
2018-02-11 00:00:00,1,0,19.87,Druzhba,23.400164,42.666508,Particulate matter
2016-09-06 16:00:00,6,7,77.66,Mladost,23.383271,42.655488,Humidity
2017-06-05 11:00:00,1,11,23.55,Druzhba,23.400164,42.666508,Temperature
2017-06-14 13:00:00,3,0,18.4,Krasno selo,23.400164,42.666508,Particulate matter
2016-10-02 15:00:00,3,7,27.39,Krasno selo,23.400164,42.666508,Humidity
2016-09-13 12:00:00,3,6,3.83,Krasno selo,23.400164,42.666508,SO2
2016-03-08 12:00:00,4,4,0.37,Pavlovo,23.268403,42.669797,CO
2017-11-15 23:00:00,1,8,955.97,Druzhba,23.400164,42.666508,Atmospheric pressure
2018-04-07 13:00:00,6,9,2.65,Mladost,23.383271,42.655488,Wind
2017-08-01 21:00:00,1,5,56.79,Druzhba,23.400164,42.666508,O3
2016-04-14 14:00:00,4,9,6.19,Pavlovo,23.268403,42.669797,Wind
2016-12-28 15:00:00,4,10,75.2,Pavlovo,23.268403,42.669797,Sun radiation
2017-05-17 08:00:00,2,7,75.93,Nadezhda,23.310972,42.732292,Humidity
2018-01-07 10:00:00,5,3,0.01,Kopitoto,23.268403,42.669797,C6H6
2018-01-21 16:00:00,6,2,20.0,Mladost,23.383271,42.655488,NO
2016-02-09 02:00:00,3,2,100.57,Krasno selo,23.400164,42.666508,NO
2017-01-11 19:00:00,6,1,136.73,Mladost,23.383271,42.655488,NO2
2016-07-16 18:00:00,3,6,1.08,Krasno selo,23.400164,42.666508,SO2
2016-02-21 18:00:00,3,11,8.61,Krasno selo,23.400164,42.666508,Temperature
2016-05-19 06:00:00,6,11,8.64,Mladost,23.383271,42.655488,Temperature
2017-03-31 20:00:00,5,4,0.19,Kopitoto,23.268403,42.669797,CO
2017-03-03 17:00:00,5,4,0.35,Kopitoto,23.268403,42.669797,CO
2018-02-23 08:00:00,5,10,42.04,Kopitoto,23.268403,42.669797,Sun radiation
2017-02-09 13:00:00,1,0,24.46,Druzhba,23.400164,42.666508,Particulate matter
